rollout/ep_rew_mean,time/episodes,rollout/success_rate,train/critic_loss,train/ent_coef,train/alpha_loss,train/actor_loss
-50.0,0,0.0,,,,
-50.0,1,0.0,,,,
-50.0,2,0.0,,,,
-50.0,3,0.0,,,,
-50.0,4,0.0,,,,
-50.0,5,0.0,,,,
-50.0,6,0.0,,,,
-50.0,7,0.0,,,,
-50.0,8,0.0,,,,
-50.0,9,0.0,,,,
-50.0,10,0.0,,,,
-50.0,11,0.0,,,,
-49.69230769230769,12,0.07692307692307693,,,,
-49.714285714285715,13,0.07142857142857142,,,,
-46.4,14,0.13333333333333333,,,,
-46.625,15,0.125,,,,
-46.8235294117647,16,0.11764705882352941,,,,
-47.0,17,0.1111111111111111,,,,
-47.1578947368421,18,0.10526315789473684,,,,
-47.3,19,0.1,,,,
-47.42857142857143,20,0.09523809523809523,,,,
-47.54545454545455,21,0.09090909090909091,0.5141738653182983,0.9848183989524841,-0.07614420354366302,-4.06234884262085
-47.65217391304348,22,0.08695652173913043,0.9638126492500305,0.9700893759727478,-0.15104533731937408,-5.526677131652832
-47.75,23,0.08333333333333333,0.724051296710968,0.9556478261947632,-0.22584117949008942,-6.7652387619018555
-47.84,24,0.08,1.3050415515899658,0.9414185285568237,-0.2993144690990448,-7.753005504608154
-47.92307692307692,25,0.07692307692307693,1.3935842514038086,0.9274248480796814,-0.37296387553215027,-8.477033615112305
-48.0,26,0.07407407407407407,1.8967976570129395,0.9136688709259033,-0.4427103102207184,-8.701885223388672
-48.07142857142857,27,0.07142857142857142,1.4233489036560059,0.9001248478889465,-0.5158033967018127,-9.183609008789062
-48.13793103448276,28,0.06896551724137931,1.381446361541748,0.8867478966712952,-0.5874614715576172,-9.20287799835205
-48.2,29,0.06666666666666667,1.1446466445922852,0.8735764026641846,-0.6653339862823486,-9.003419876098633
-48.25806451612903,30,0.06451612903225806,1.1024024486541748,0.8605595231056213,-0.7419887781143188,-9.156932830810547
,,,1.1022498607635498,0.8603008389472961,-0.7386513352394104,-9.07237434387207
-48.3125,31,0.0625,1.5081313848495483,0.8477407097816467,-0.8156770467758179,-9.054107666015625
-48.36363636363637,32,0.06060606060606061,1.4358998537063599,0.835108757019043,-0.8893350958824158,-8.840041160583496
-47.44117647058823,33,0.08823529411764706,1.1582515239715576,0.8306060433387756,-0.9164449572563171,-8.852359771728516
-47.51428571428571,34,0.08571428571428572,1.3156781196594238,0.818243145942688,-0.9792807102203369,-8.49050521850586
-46.19444444444444,35,0.1111111111111111,1.3334789276123047,0.8179978132247925,-0.9877853393554688,-8.411055564880371
-46.2972972972973,36,0.10810810810810811,1.3731980323791504,0.8058158159255981,-1.0692570209503174,-8.118678092956543
-46.39473684210526,37,0.10526315789473684,0.8677728176116943,0.7938203811645508,-1.141822099685669,-7.57540225982666
-46.48717948717949,38,0.10256410256410256,0.9117872714996338,0.7820134162902832,-1.2022101879119873,-7.252460956573486
-46.575,39,0.1,0.5904596447944641,0.7703809142112732,-1.276808500289917,-6.956643104553223
-46.65853658536585,40,0.0975609756097561,0.6631430387496948,0.7589221000671387,-1.3516143560409546,-6.540009498596191
-46.73809523809524,41,0.09523809523809523,0.5821791887283325,0.7476285099983215,-1.4287664890289307,-6.086421966552734
,,,0.5569391250610352,0.7404885292053223,-1.4631332159042358,-5.873101711273193
-46.81395348837209,42,0.09302325581395349,0.6187863349914551,0.7364993095397949,-1.4987107515335083,-5.647187232971191
-46.88636363636363,43,0.09090909090909091,0.47070854902267456,0.7255286574363708,-1.5724968910217285,-5.216024398803711
-46.955555555555556,44,0.08888888888888889,0.9086224436759949,0.7147169709205627,-1.641489863395691,-4.9214324951171875
-47.02173913043478,45,0.08695652173913043,0.4265006184577942,0.7040699124336243,-1.7227380275726318,-4.635598182678223
-47.08510638297872,46,0.0851063829787234,0.4076254963874817,0.693580150604248,-1.7922840118408203,-4.3621673583984375
-47.145833333333336,47,0.08333333333333333,0.35313117504119873,0.6832382082939148,-1.8819414377212524,-4.0377197265625
-47.204081632653065,48,0.08163265306122448,0.29496708512306213,0.6730557680130005,-1.9549596309661865,-3.7840018272399902
-47.26,49,0.08,0.27750033140182495,0.6630252003669739,-2.040358543395996,-3.5104880332946777
-47.31372549019608,50,0.0784313725490196,0.24858419597148895,0.653143584728241,-2.1091134548187256,-3.318336009979248
-47.36538461538461,51,0.07692307692307693,0.28322267532348633,0.6434101462364197,-2.181046962738037,-3.095656633377075
,,,0.2009671926498413,0.637255847454071,-2.2226569652557373,-2.840869665145874
-47.41509433962264,52,0.07547169811320754,0.20188046991825104,0.6338213682174683,-2.2573113441467285,-2.8116989135742188
